critic_cn,critic_name,critic_org,movie_dir,movie_name,movie_rank,movie_yr,genre,dir_country
Cuba,Mario Espinosa,Cinemateca de Cuba,Andrzej Wajda,Katyn,4,2007,drama history and war,Poland
Cuba,Mario Espinosa,Cinemateca de Cuba,Kim Ki-duk,3-Iron,5,2004,drama and romance,South Korea
Cuba,Mario Espinosa,Cinemateca de Cuba,Michael Haneke,Caché,6,2005,drama mystery and thriller,Germany
Cuba,Mario Espinosa,Cinemateca de Cuba,David Lynch,Mulholland Drive,7,2001,drama mystery and thriller,USA
Cuba,Mario Espinosa,Cinemateca de Cuba,Ari Folman,The Congress,8,2013,animation drama and sci-fi,Israel 
Cuba,Mario Espinosa,Cinemateca de Cuba,Park Chan-wook,Sympathy for Mr Vengeance,9,2002,action and drama,South Korea
Cuba,Mario Espinosa,Cinemateca de Cuba,Charlie Kaufman,"Synecdoche, New York",10,2008,comedy and drama,USA
Argentina,Javier Porta Fouz,La Nacion,Clint Eastwood,Jersey Boys,1,2014, biography drama and music,USA
Argentina,Javier Porta Fouz,La Nacion,Baz Luhrmann,Moulin Rouge!,2,2001,drama musical and romance,Australia
Argentina,Javier Porta Fouz,La Nacion,Fabián Bielinsky,Nine Queens,3,2000, crime drama and thriller,Argentina
Argentina,Javier Porta Fouz,La Nacion,Nanni Moretti,Mia Madre,4,2015,drama,Italy
Argentina,Javier Porta Fouz,La Nacion,Hong Sang-soo,"Right Now, Wrong Then",5,2015,drama,Korea
Argentina,Javier Porta Fouz,La Nacion,Lee Unkrich,Toy Story 3,6,2010, animation adventure and comedy,USA 
Argentina,Javier Porta Fouz,La Nacion,George Miller,Mad Max: Fury Road,7,2015,action adventure sci-fi,Australia
Argentina,Javier Porta Fouz,La Nacion,Hayao Miyazaki,Spirited Away,8,2001,animation adventure family fantasy and mystery,Japan
Argentina,Javier Porta Fouz,La Nacion,Greg Mottola,Adventureland,9,2009,comedy drama and romance,USA
Argentina,Javier Porta Fouz,La Nacion,Kevin Costner,Open Range,10,2003,action drama and romance,USA
Chile,Ernesto Garratt,El Mercurio,Park Chan-wook,Oldboy,1,2003,action drama and mystery,South Korea
Chile,Ernesto Garratt,El Mercurio,Alfonso Cuarón,Children of Men,2,2006,drama sci-Fi and thriller,Mexico
Chile,Ernesto Garratt,El Mercurio,David Lynch,Mulholland Drive,3,2001,drama mystery and thriller,USA
Chile,Ernesto Garratt,El Mercurio,Juan José Campanella,The Secret in Their Eyes,4,2009,crime drama mystery and thriller,Argentina
Chile,Ernesto Garratt,El Mercurio,Denis Villeneuve,Sicario,5,2015,action thriller and drama,Canada
Chile,Ernesto Garratt,El Mercurio,Pablo Larraín,No,6,2012,drama,Chile
Chile,Ernesto Garratt,El Mercurio,Richard Kelly,Donnie Darko,7,2001,drama thriller and sci-fi ,USA
Chile,Ernesto Garratt,El Mercurio,Michel Gondry,Eternal Sunshine of the Spotless Mind,8,2004,drama romance and sci-fi,France
Chile,Ernesto Garratt,El Mercurio,David Fincher,The Social Network,9,2010,biography and drama,USA
Chile,Ernesto Garratt,El Mercurio,Damien Chazelle,Whiplash,10,2014,drama and music,USA
Colombia,Juan Carlos González,El Tiempo,Wong Kar-wai,In the Mood for Love,1,2000,drama and romance,China
Colombia,Juan Carlos González,El Tiempo,Cristian Mungiu,"4 Months, 3 Weeks & 2 Days",2,2007,drama,Romania
Colombia,Juan Carlos González,El Tiempo,Asghar Farhadi,A Separation,3,2011,drama and mystery,Iran
Colombia,Juan Carlos González,El Tiempo,László Nemes,Son of Saul,4,2015,drama and war,Hungary
Colombia,Juan Carlos González,El Tiempo,Gus Van Sant,Elephant,5,2003,crime drama and thriller,USA
Colombia,Juan Carlos González,El Tiempo,Jacques Audiard,A Prophet,6,2009,crime and drama,France
Colombia,Juan Carlos González,El Tiempo,Paul Thomas Anderson,There Will Be Blood,7,2007,drama,USA
Colombia,Juan Carlos González,El Tiempo,Florian Henckel von Donnersmarck,The Lives of Others,8,2006,drama,Germany
Colombia,Juan Carlos González,El Tiempo,Noah Baumbach,Frances Ha,9,2012,comedy drama and romance,USA
Colombia,Juan Carlos González,El Tiempo,Michel Gondry,Eternal Sunshine of the Spotless Mind,10,2004,drama romance and sci-fi,France
Colombia,Manuel Kalmanovitz,Revista Semana,Lucrecia Martel,The Headless Woman,1,2008,drama and mystery,Argentina
Colombia,Manuel Kalmanovitz,Revista Semana,Hayao Miyazaki,Spirited Away,2,2001,animation adventure family fantasy and mystery,Japan
Colombia,Manuel Kalmanovitz,Revista Semana,David Lynch,Mulholland Drive,3,2001,drama mystery and thriller,USA
Colombia,Manuel Kalmanovitz,Revista Semana,Víctor Gaviria,Sumas y Restas,4,2004,drama,Colombia
Colombia,Manuel Kalmanovitz,Revista Semana,Pete Docter,Inside Out,5,2015,animation adventure comedy drama family fantasy,USA
Colombia,Manuel Kalmanovitz,Revista Semana,Agnès Varda,The Gleaners and I,6,2000,documentary,Belgium
Colombia,Manuel Kalmanovitz,Revista Semana,Andrey Zvyagintsev,The Return,7,2003,drama and mystery,Russia
Colombia,Manuel Kalmanovitz,Revista Semana,Philippe Garrel,Regular Lovers,8,2005,drama and romance,France
Colombia,Manuel Kalmanovitz,Revista Semana,Jonathan Glazer,Under the Skin,9,2013,drama thriller and sci-fi,UK
Colombia,Manuel Kalmanovitz,Revista Semana,Jean-Charles Fitoussi,The Days When I Do Not Exist,10,2002,drama and fantasy,France
Cuba,Mario Naito López,Cuban Film Press Association,Wong Kar-wai,In the Mood for Love,1,2000,drama and romance,China
Cuba,Mario Naito López,Cuban Film Press Association,Kim Ki-duk,"Spring, Summer, Fall, Winter…and Spring",2,2003,drama and romance,Korea
Cuba,Mario Naito López,Cuban Film Press Association,David Cronenberg,A History of Violence,3,2005,drama and thriller,Canada
Cuba,Mario Naito López,Cuban Film Press Association,Pedro Almodóvar,Talk to Her,4,2002,drama mystery and romance,Spain
Cuba,Mario Naito López,Cuban Film Press Association,Todd Haynes,Carol,5,2015,drama and romance,USA
Cuba,Mario Naito López,Cuban Film Press Association,Lars von Trier,Melancholia,6,2011,drama and sci-fi,Denmark
Cuba,Mario Naito López,Cuban Film Press Association,Michael Haneke,The White Ribbon,7,2009,drama history mystery and thriller,Germany
Cuba,Mario Naito López,Cuban Film Press Association,Andrey Zvyagintsev,The Return,8,2003,drama and mystery,Russia
Cuba,Mario Naito López,Cuban Film Press Association,Jean-Pierre and Luc Dardenne,The Child,9,2005,crime and drama,Belgium
Cuba,Mario Naito López,Cuban Film Press Association,Carlos Reygadas,Silent Light,10,2007
Chile,Antonio Martínez,El Mercurio,Martin Scorsese,The Wolf of Wall Street,1,2013
Chile,Antonio Martínez,El Mercurio,Joel and Ethan Coen,No Country For Old Men,2,2007,crime drama and thriller,USA
Chile,Antonio Martínez,El Mercurio,Hayao Miyazaki,Spirited Away,3,2001,animation adventure family fantasy and mystery,Japan
Chile,Antonio Martínez,El Mercurio,Clint Eastwood,Million Dollar Baby,4,2004,drama,USA
Chile,Antonio Martínez,El Mercurio,Roman Polanski,The Ghost Writer,5,2010, drama mystery and thriller,France
Chile,Antonio Martínez,El Mercurio,Nanni Moretti,The Son's Room,6,2001,drama,Italy
Chile,Antonio Martínez,El Mercurio,David Cronenberg,A History of Violence,7,2005,drama and thriller,Canada
Chile,Antonio Martínez,El Mercurio,Pedro Almodóvar,Talk to Her,8,2002,drama mystery and romance,Spain
Chile,Antonio Martínez,El Mercurio,Sidney Lumet,Before the Devil Knows You're Dead,9,2007,crime,USA
Chile,Antonio Martínez,El Mercurio,Woody Allen,Match Point,10,2005,drama,USA
Cuba,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Jean-Luc Godard,Goodbye to Language,1,2014,drama and fantasy,France
Cuba,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Pedro Costa,Colossal Youth,2,2006,drama,Portugal
Cuba,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Béla Tarr and Ágnes Hranitzky,Werckmeister Harmonies,3,2000,drama and mystery,Hungary
Cuba,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Leos Carax,Holy Motors,4,2012,drama and fantasy,France
Cuba,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Apichatpong Weerasethakul,Uncle Boonmee Who Can Recall His Past Lives,5,2010,drama,Thailand
Cuba,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Andrey Zvyagintsev,Leviathan,6,2014,crime and drama,Russia
Cuba,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Miguel Gomes,Tabu,7,2012,drama and romance,Portugal
Cuba,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Ben Rivers,The Sky Trembles and the Earth Is Afraid and the Two Eyes Are Not Brothers,8,2015,drama,UK
Cuba,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema,Lav Diaz,From What Is Before,9,2014,drama,Philippines
